"timestamp","app","event_type","key"
"2025-11-01T12:30:52.083914","Activity Tracker","click","left"
"2025-11-01T12:30:53.084988","Finder","click","left"
"2025-11-01T12:30:53.666546","Finder","click","left"
"2025-11-01T12:30:56.399855","Finder","click","left"
"2025-11-01T12:30:57.866672","Finder","click","left"
"2025-11-01T12:30:59.000332","Finder","click","left"
"2025-11-01T12:31:00.300742","Finder","click","left"
"2025-11-01T12:31:02.202812","Finder","click","right"
"2025-11-01T12:31:04.850314","Finder","click","left"
"2025-11-01T12:31:13.059084","Google Chrome","click","left"
"2025-11-01T12:31:14.502544","Google Chrome","click","left"
"2025-11-01T12:31:14.950593","Google Chrome","click","left"
"2025-11-01T12:31:15.417614","Google Chrome","click","left"
"2025-11-01T12:31:16.052054","Google Chrome","click","left"
"2025-11-01T12:31:17.633860","Google Chrome","click","left"
"2025-11-01T12:31:18.236348","Google Chrome","click","left"
"2025-11-01T12:31:19.383719","Google Chrome","click","left"
"2025-11-01T12:31:20.336373","Google Chrome","click","left"
"2025-11-01T12:31:21.983718","Google Chrome","click","left"
"2025-11-01T12:31:24.350772","Google Chrome","click","left"
"2025-11-01T12:31:24.933890","Google Chrome","click","left"
"2025-11-01T12:31:25.767472","Google Chrome","click","left"
"2025-11-01T12:31:26.650104","Google Chrome","click","left"
"2025-11-01T12:31:27.434389","Google Chrome","click","left"
"2025-11-01T12:31:28.967841","Google Chrome","click","left"
"2025-11-01T12:31:30.550140","Google Chrome","click","left"
"2025-11-01T12:31:31.085561","Google Chrome","click","left"
"2025-11-01T12:31:32.417163","Google Chrome","click","left"
"2025-11-01T12:31:33.150221","Google Chrome","click","left"
"2025-11-01T12:31:34.334012","Google Chrome","click","left"
"2025-11-01T12:31:35.316627","Google Chrome","click","left"
"2025-11-01T12:31:36.083421","Google Chrome","click","left"
"2025-11-01T12:31:36.917119","Google Chrome","click","left"
"2025-11-01T12:31:39.618254","Google Chrome","click","left"
"2025-11-01T12:31:42.471684","Finder","click","right"
"2025-11-01T12:31:43.816635","Finder","click","left"
"2025-11-01T12:31:46.459558","Terminal","keystroke","h"
"2025-11-01T12:31:46.614260","Terminal","keystroke","u"
"2025-11-01T12:31:46.765988","Terminal","keystroke","g"
"2025-11-01T12:31:46.945543","Terminal","keystroke","o"
"2025-11-01T12:31:47.118794","Terminal","keystroke","space"
"2025-11-01T12:31:47.307578","Terminal","keystroke","s"
"2025-11-01T12:31:47.457435","Terminal","keystroke","e"
"2025-11-01T12:31:47.971844","Terminal","keystroke","r"
"2025-11-01T12:31:48.213104","Terminal","keystroke","v"
"2025-11-01T12:31:48.343098","Terminal","keystroke","e"
"2025-11-01T12:31:48.782732","Terminal","keystroke","space"
"2025-11-01T12:31:49.093215","Terminal","keystroke","-"
"2025-11-01T12:31:49.355515","Terminal","keystroke","shift"
"2025-11-01T12:31:49.524092","Terminal","keystroke","D"
"2025-11-01T12:31:49.776921","Terminal","keystroke","enter"
"2025-11-01T12:31:52.362643","Google Chrome","click","left"
"2025-11-01T12:31:53.401287","Google Chrome","click","left"
"2025-11-01T12:31:56.869418","Google Chrome","click","left"
"2025-11-01T12:31:59.349924","Google Chrome","click","left"
"2025-11-01T12:31:59.816723","Google Chrome","click","left"
"2025-11-01T12:32:03.000180","Code","click","left"
"2025-11-01T12:32:04.116762","Code","click","left"
"2025-11-01T12:32:06.416845","Google Chrome","click","left"
"2025-11-01T12:32:07.050683","Google Chrome","click","left"
"2025-11-01T12:32:07.337176","Google Chrome","keystroke","r"
"2025-11-01T12:32:07.485475","Google Chrome","keystroke","a"
"2025-11-01T12:32:07.658954","Google Chrome","keystroke","d"
"2025-11-01T12:32:07.805943","Google Chrome","keystroke","i"
"2025-11-01T12:32:07.902404","Google Chrome","keystroke","c"
"2025-11-01T12:32:08.034086","Google Chrome","keystroke","a"
"2025-11-01T12:32:08.093697","Google Chrome","keystroke","l"
"2025-11-01T12:32:08.276403","Google Chrome","keystroke","space"
"2025-11-01T12:32:08.438533","Google Chrome","keystroke","m"
"2025-11-01T12:32:08.574654","Google Chrome","keystroke","e"
"2025-11-01T12:32:08.754167","Google Chrome","keystroke","d"
"2025-11-01T12:32:08.862231","Google Chrome","keystroke","i"
"2025-11-01T12:32:09.004010","Google Chrome","keystroke","a"
